Name,University,Year,Country
Shayan Chashm Jahan,University of Maryland,2024,United States
Phu Binh Nguyen,The University of British Columbia,2024,Canada
Fredrik Ekholm,University of Cambridge,2024,United Kingdom
Matej Urban,University of Cambridge,2024,United Kingdom
Conor Kennedy,Stanford University,2024,United States
Jung Tao Cheng,Stanford University,2024,United States
Nikil Roashan Selvam,Stanford University,2024,United States
Joel Gunawan,The University of British Columbia,2024,Canada
Vincent Ling,The University of British Columbia,2024,Canada
Max Jiang,University of Waterloo,2024,Canada
Ernest Lu,"University of California, Berkeley",2024,United States
Vedant Kumud,"University of California, Berkeley",2024,United States
Youngmin Park,"University of California, Berkeley",2024,United States
Jiyuan Qi,University of Washington,2024,United States
Jun Xing Go,University of Washington,2024,United States
Kaiyuan Liu,University of Washington,2024,United States
Wen Yuen Pang,University of Waterloo,2024,Canada
Kevin Wan,University of Waterloo,2024,Canada
Stanisław Strzelecki,University of California San Diego,2024,United States
Harris Leung,University of Oxford,2024,United Kingdom
Jiangqi Dai,Massachusetts Institute of Technology,2024,United States
Ziqian Zhong,Massachusetts Institute of Technology,2024,United States
Zixiang Zhou,Massachusetts Institute of Technology,2024,United States
Jay Leeds,Swarthmore College,2024,United States
Runze Wang,Swarthmore College,2024,United States
Timothy Mou,Swarthmore College,2024,United States
Thien Udomsrirungruang,University of Oxford,2024,United Kingdom
Zixu He,UNSW Sydney,2024,Australia
Viktor Kozhuharov,University of Oxford,2024,United Kingdom
Andrew Gu,Harvard University,2024,United States
Gabriel Wu,Harvard University,2024,United States
Maxwell Zen,Harvard University,2024,United States
Joseph Luo,UNSW Sydney,2024,Australia
Tsingying Xu,UNSW Sydney,2024,Australia
Shang Zhou,University of California San Diego,2024,United States
Joël Benjamin Huber,University of Cambridge,2024,United Kingdom
Zexing Chen,University of California San Diego,2024,United States
Eric Yang,Rutgers University,2024,United States
Benyu Wang,University of Michigan at Ann Arbor,2024,United States
Tuong Le,University of Michigan at Ann Arbor,2024,United States
Yeyuan Chen,University of Michigan at Ann Arbor,2024,United States
Aaryan Prakash,The University of Texas at Austin,2024,United States
Caleb Hu,The University of Texas at Austin,2024,United States
Mark Wen,The University of Texas at Austin,2024,United States
Nicholas Belov,Rutgers University,2024,United States
Yan Zou,University of Rochester,2024,United States
Thomas Yang,Rutgers University,2024,United States
Omkar Bhalerao,Cornell University,2024,United States
Tenghao Li,Cornell University,2024,United States
Yi Xu,Cornell University,2024,United States
Eric Shao,Columbia University,2024,United States
Colin Galen,University of Maryland,2024,United States
Zeyu Nie,University of Rochester,2024,United States
Cheng-Yuan Lee,University of Maryland,2024,United States
Xiaoou Zhou,University of Rochester,2024,United States
Nicholas Winschel,University of Virginia,2024,United States
Thomas Neill,University of California Irvine,2024,United States
Kevin Yang,Columbia University,2024,United States
Aditya Jain,University of Illinois at Urbana-Champaign,2024,United States
Jiahao Fu,University of Illinois at Urbana-Champaign,2024,United States
Yuuki Sawanoi,University of Illinois at Urbana-Champaign,2024,United States
Chase Hildebrand,University of Virginia,2024,United States
