Name,Country,Year
Amber Li,Australia,2024
Marvin Mao,Canada,2024
Alexander Wang,United States of America,2024
Alex Chui,United Kingdom,2024
Jessica Wan,United States of America,2024
Linus Tang,United States of America,2024
Samuel Sturge,United Kingdom,2024
Krishna Pothapragada,United States of America,2024
Xiangyue (Laura) Nan,Australia,2024
Qiao Zhang,United States of America,2024
Warren Bei,Canada,2024
Jordan Lefkowitz,United States of America,2024
Isaac King,United Kingdom,2024
William Cheah,Australia,2024
Ryan Bai,Canada,2024
Sam Griffiths,United Kingdom,2024
Haolin Zhao,United Kingdom,2024
Mikaeel Shah,United Kingdom,2024
Jay Zhao,New Zealand,2024
Alex Qiu,Australia,2024
Haotian Wang,New Zealand,2024
Dawn Chen,New Zealand,2024
Iris Xu,Australia,2024
Cloris Xu,Australia,2024
Xuezhi Wang,Canada,2024
Nicholas McKinlay,New Zealand,2024
Emily Ma,Canada,2024
Chris Pan,New Zealand,2024
Boning Dai,New Zealand,2024
Ming Yang,Canada,2024
Maximus Lu,United States of America,2023
Alex Zhao,United States of America,2023
Eric Shen,United States of America,2023
Zian Shang,Australia,2023
Thomas Kavanagh,United Kingdom,2023
Huaye Jeff Lin,United States of America,2023
Derek Liu,United States of America,2023
Dhruv Basu,Canada,2023
Hanks Chong,United Kingdom,2023
Kaixin Wang,Canada,2023
Eric Liang,New Zealand,2023
William Thomson,United Kingdom,2023
JunYang (Michael) Ma,New Zealand,2023
Bufan Zhao,New Zealand,2023
Sizhe Pan,Australia,2023
Haozhe Yang,Canada,2023
Christopher Tran,Australia,2023
Sida Li,United Kingdom,2023
He (James) Xu,New Zealand,2022
Tony Yuzheng Wu,Australia,2022
Kevin  Min,Canada,2022
Benjamin Gillott,United Kingdom,2022
Andrew Gu,United States of America,2022
Zixiang Zhou,Canada,2022
Kevin Cong,United States of America,2022
Mohit Hulse,United Kingdom,2022
Luke Robitaille,United States of America,2022
Grace Yuan,Australia,2022
Grady Kenix,New Zealand,2022
