Name,Country,Year,LinkedIn_Profile
Marcela Sofía Huatuco Cordido,Venezuela,2024,
Luke Sebastian Sy,Philippines,2024,
Meng-Che Hsu,Taiwan,2024,
Chi-An Chang,Taiwan,2024,
Mark Neumann,Switzerland,2024,
Ellen Grant-Smith,South Africa,2024,
Yosuf Bakhit,Saudi Arabia,2024,
Timur Degteari,Republic of Moldova,2024,
Michał Piotr Lipiec,Poland,2024,
Alvann Walter Paredes Dy,Philippines,2024,
Pedro Henrique De Almeida Ursino,Brazil,2024,
Leonid Todoroski,North Macedonia,2024,
Nicholas McKinlay,New Zealand,2024,
Manlai Sonor,Mongolia,2024,
Belgutei Bayar,Mongolia,2024,
Ansis Gustavs Andersons,Latvia,2024,
Edoardo Balistri,Italy,2024,
Parsa Saberi,Islamic Republic of Iran,2024,
Olimdzhon Tukhtarov,Tajikistan,2024,
İrem Gülce Yazgan,Türkiye,2024,
Alisa Potomkina,Ukraine,2024,
Ozodbek Akhtamov,Uzbekistan,2024,
Matías Álvarez Oviedo,Argentina,2024,
Mohammad Hafez,Saudi Arabia,2024,
Tobias Kristiansen,Netherlands,2024,
Vladimir Rogovskiy,Kazakhstan,2024,
Zhan Dautov,Kazakhstan,2024,
Kirill Tselovalnikov,Estonia,2024,
Carlos Shum Apuy,Costa Rica,2024,
Sebastian Aguilar Pineda,Costa Rica,2024,
Vesselin Markovich,Bulgaria,2024,
Robin Antoine,Belgium,2024,
Monamy Zaman,Bangladesh,2024,
Kamo Mirakyan,Armenia,2024,
Tran Minh Duc Pham,Vietnam,2024,
Dang Dung Nguyen,Vietnam,2024,
Rasulbek Gafforov,Uzbekistan,2024,
Frederico Samuel Halim,Indonesia,2024,
Bernát Tarján,Hungary,2024,
Lars Krabbenhöft,Germany,2024,
Boning Dai,New Zealand,2024,
Ivan Chan Guan Yu,Malaysia,2024,
Isken Kenzhebaev,Kyrgyzstan,2024,
Miron Yurkevich,Kazakhstan,2024,
Naohiro Miyahara,Japan,2024,
Raz Dvora,Israel,2024,
Amirhossein Mohammadzadeh,Islamic Republic of Iran,2024,
Boldizsár Varga,Hungary,2024,
Mátyás Bodor,Hungary,2024,
Sebastian Chase,Hong Kong,2024,
Nektarios Rafail Berkoutakis,Greece,2024,
Ervin Ivanov,Estonia,2024,
Ara Mahdessian,Cyprus,2024,
Kristijan Šimović,Croatia,2024,
David Lang,Croatia,2024,
Ming Yang,Canada,2024,
Héctor Juan Villarreal Corona,Mexico,2024,
Chris Pan,New Zealand,2024,
Rati Ratiani,Georgia,2024,
Jeremi Hyska,Poland,2024,
Theodor Boaz Pedersen,Denmark,2024,
Emily Ma,Canada,2024,
Matheus Alencar De Moraes,Brazil,2024,
Maksim Manastyrski,Belarus,2024,
Areg Mkrtchyan,Armenia,2024,
Vahan Baghdasaryan,Armenia,2024,
Hayk Andriasyan,Armenia,2024,
Maryna Spektrova,Ukraine,2024,
Maliksha Meylismyradov,Turkmenistan,2024,
Mehmet Burak Gönül,Türkiye,2024,
Ting-Wei Chang,Taiwan,2024,
Emil Sandberg,Sweden,2024,
Ben Lucius Maree,South Africa,2024,
Vlad-Titus Spătaru,Romania,2024,
Andrei-Giovani Chiriță,Romania,2024,
Keny Carlosama,Ecuador,2024,
Giorgi Kekenadze,Georgia,2024,
Christian Kraftsik,Germany,2024,
Naida Gavranović,Bosnia and Herzegovina,2024,
Iris Xu,Australia,2024,
Ignacio Javier Naguil,Argentina,2024,
Van Hoang Nguyen,Vietnam,2024,
Madina Suyunova,Uzbekistan,2024,
Selim Doğan,Türkiye,2024,
Aekkawin Wisitkiatchai,Thailand,2024,
John Hedin,Sweden,2024,
Moied Baleg,South Africa,2024,
Luka Urbanc,Slovenia,2024,
Muath Alqahtani,Saudi Arabia,2024,
