Name,Country,Year
Peter Zhou,New Zealand,2024
Adavya Goyal,United Kingdom,2024
Bálint Rózsa,Canada,2024
Ryan Bai,Canada,2024
Hanks Chong,United Kingdom,2024
Guanhan Li,New Zealand,2024
Samuel Trajtenberg,United Kingdom,2024
Victor Coen,New Zealand,2024
Anango Prabhat,United Kingdom,2024
Daniel Ye,Canada,2024
Maxwell He,Canada,2024
Jesse Zhang,New Zealand,2024
Erekle Roinishvili,United Kingdom,2023
Evan Lin,Australia,2023
Jerry Zirui Li,Australia,2023
Warren Bei,Canada,2023
Miles Conway,Australia,2023
Anatol Coen,New Zealand,2023
Mars Xiang,Canada,2023
Phoebe Zhang,New Zealand,2023
Jonathon Sun,New Zealand,2023
Arthur Wenqi Sun,Australia,2023
Edward Xiao,Canada,2022
Zixiang Zhou,Canada,2022
Allen Pei,Canada,2022
Joshua Chen,Australia,2022
Nicholas Grace,New Zealand,2022
Ojas Gulati,United Kingdom,2022
Zalan Varga,New Zealand,2022
Qiushi Chen,New Zealand,2022
Toby Collins,United Kingdom,2022
Antoni Pilat,United Kingdom,2021
Christopher Trevisan,Canada,2021
James King,Australia,2021
James Tan,United Kingdom,2021
Thomas Guo,Canada,2021
Brynly Mitchell,Australia,2021
Benedek Szilvasy,United Kingdom,2021
Benjamin Smith,New Zealand,2021
Aron Thomas,United Kingdom,2020
George Chen,Canada,2020
Tunan Shi,Australia,2020
Euan Ong,United Kingdom,2020
Ivan Solovyev,New Zealand,2020
Quang Ong,Australia,2020
Isaiah Iliffe,Australia,2020
Junhua Chen,Australia,2020
Kevin Lee,United Kingdom,2020
Maayan Levy,New Zealand,2020
Joseph Grace,New Zealand,2020
Zhiyuan Qi,New Zealand,2020
Arthur Conmy,United Kingdom,2019
Eric Song,New Zealand,2019
Angus Ritossa,Australia,2019
Victor Rong,Canada,2019
Timmy Yao,Australia,2019
Ryan Wang,Australia,2019
Benedict Randall Shaw,United Kingdom,2019
Zachary Smith,United Kingdom,2019
Kevin Wan,Canada,2019
Ava Pun,Canada,2018
Joey Yu,Canada,2018
Jerry Mao,Australia,2018
Albert Smith,Australia,2018
Shaun Marshall,United Kingdom,2018
Basim Khajwal,United Kingdom,2018
Harvey Yau,United Kingdom,2018
Fox Thomson,United Kingdom,2018
Jacob Smith,Australia,2018
Ryan King,New Zealand,2018
Thomas Read,United Kingdom,2017
Joseph Benton,United Kingdom,2017
Richard Gong,Australia,2017
Jason Yuen,Canada,2017
Brian Chau,Canada,2017
Charles Jameson,Australia,2017
Neel Nanda,United Kingdom,2017
Leo Feng,Canada,2017
Euan Tebbutt,United Kingdom,2017
Jonathan Khoo,New Zealand,2016
Yikuan Li,Canada,2016
Kevin Sun,Canada,2016
Declan McDonnell,Australia,2016
Lawrence Hollom,United Kingdom,2016
Farbod Yadegarian,Canada,2016
Jeffrey Xiao,Canada,2016
Chuanye Chen,New Zealand,2016
Belinda Shi,Australia,2016
Christopher Brown,New Zealand,2016
Matthew Hillman,United Kingdom,2016
Seung Je Jung,New Zealand,2016
Yi Xiao Zhang,Canada,2015
Michael Chen,Australia,2015
Jacob Jackson,Canada,2015
Rowan Lee,United Kingdom,2015
Byung Hoon Cho,New Zealand,2015
Zhenxian Yang,United Kingdom,2015
David Shah,United Kingdom,2015
Philip Anderson,New Zealand,2015
Ishraq Huda,Australia,2015
