Name,Country,University,Year,Source
Aaryan Prakash,United States,The University of Texas at Austin,2024,ICPC
Abhratanu Dutta,United States,Northwestern University,2017,ICPC
Adam Ardeishar,United States,,2018,IMO
Adam Barth,United States,Virginia Tech,2018,ICPC
Adavya Goyal,United Kingdom,,2024,IOI
Adhyyan Sekhsaria,United States,University of Southern California,2020,ICPC
Aditya Jain,United States,University of Illinois at Urbana-Champaign,2024,ICPC
Aditya Shah,United States,Columbia University,2019,ICPC
Aditya Sundaram,United States,Carnegie Mellon University,2022,ICPC
Adrian Goldwaser,Australia,The University of New South Wales,2019,ICPC
Agnijo Banerjee,United Kingdom,,2018,IMO
Ahmed Sabie,Canada,University of Waterloo,2018,ICPC
Akif Patel,United States,Rutgers University,2022,ICPC
Alan Li,New Zealand,,2019,IMO
Albert Gural,United States,California Institute of Technology,2016,ICPC
Albert Smith,Australia,,2018,IOI
Alec Grieser,United States,University of Virginia,2016,ICPC
Alex Chui,United Kingdom,,2024,IMO
Alex Darby,United Kingdom,,2019,IMO
Alex Meed,United States,The University of Texas at Austin,2017,ICPC
Alex Qiu,Australia,,2024,IMO
Alex Tatomir,United Kingdom,University of Oxford,2019,ICPC
Alex Zhao,United States,,2023,IMO
Alexander Coleman,United States,University of Central Florida,2018,ICPC
Alexander Dai,United States,University of California at Berkeley,2018,ICPC
Alexander Gunning,Australia,,2015,IMO
Alexander Iverson,United States,South Dakota School of Mines and Technology,2019,ICPC
Alexander Lind,United States,Virginia Tech,2020,ICPC
Alexander Song,United Kingdom,,2017,IMO
Alexander Thatcher,Australia,The University of Western Australia,2019,ICPC
Alexander Wang,United States,,2024,IMO
Alexander Whatley,Canada,,2015,IMO
Ali Khosravi,Australia,UNSW Sydney,2022,ICPC
Ali-Amir Aldan,United States,Massachusetts Institute of Technology,2015,ICPC
Allee Zarrini,United States,Colorado School of Mines,2018,ICPC
Allen Li,United States,University of Michigan at Ann Arbor,2021,ICPC
Allen Liu,United States,Massachusetts Institute of Technology,2016,ICPC
Allen Pei,Canada,,2022,IOI
Aman Karunakaran,United States,University of Michigan at Ann Arbor,2018,ICPC
Amber Li,Australia,,2024,IMO
An Nguyen,United States,The University of Texas at Dallas,2020,ICPC
Anango Prabhat,United Kingdom,,2024,IOI
Anatol Coen,New Zealand,,2023,IOI
Andrei Dumitru,United States,Illinois Institute of Technology,2016,ICPC
Andrei-Costin Constantinescu,United Kingdom,University of Oxford,2018,ICPC
Andres David Buritica Monroy,Australia,,2021,IMO
Andrew Gozzard,Australia,The University of Western Australia,2016,ICPC
Andrew Gu,United States,Harvard University,2022,ICPC
Andrew Haigh,Australia,The Australian National University,2015,ICPC
Andrew He,United States,Massachusetts Institute of Technology,2019,ICPC
Andrew Kerr,Australia,The Australian National University,2024,ICPC
Andrew Lin,Canada,,2016,IMO
