Name,Country,University,Year,Source,LinkedIn_Profile
Aaryan Prakash,United States,The University of Texas at Austin,2024,ICPC,https://www.linkedin.com/in/aaryan-prakash-568979186
Abhratanu Dutta,United States,Northwestern University,2017,ICPC,https://www.linkedin.com/in/abhratanu-dutta
Adam Ardeishar,United States,,2018,IMO,https://www.linkedin.com/in/adam-zheng-66319a193
Adam Barth,United States,Virginia Tech,2018,ICPC,https://www.linkedin.com/in/adam-barth-997791156
Adavya Goyal,United Kingdom,,2024,IOI,https://uk.linkedin.com/in/adavya-goyal-65bb89325
Adhyyan Sekhsaria,United States,University of Southern California,2020,ICPC,https://www.linkedin.com/in/adhyyansekhsaria
Aditya Jain,United States,University of Illinois at Urbana-Champaign,2024,ICPC,https://in.linkedin.com/in/aditya-jain-16226010a
Aditya Shah,United States,Columbia University,2019,ICPC,https://www.linkedin.com/in/adityajshah
Aditya Sundaram,United States,Carnegie Mellon University,2022,ICPC,https://www.linkedin.com/in/aditya-sundaram-0983971a9
Adrian Goldwaser,Australia,The University of New South Wales,2019,ICPC,https://www.linkedin.com/in/davidguadeloupe
Agnijo Banerjee,United Kingdom,,2018,IMO,
Ahmed Sabie,Canada,University of Waterloo,2018,ICPC,https://www.linkedin.com/in/ahmed-sabie-13553856
Akif Patel,United States,Rutgers University,2022,ICPC,https://www.linkedin.com/in/akif-patel-b76489172
Alan Li,New Zealand,,2019,IMO,https://www.linkedin.com/in/alanwli
Albert Gural,United States,California Institute of Technology,2016,ICPC,https://www.linkedin.com/in/albertgural
Albert Smith,Australia,,2018,IOI,https://www.linkedin.com/in/albertsmith
Alec Grieser,United States,University of Virginia,2016,ICPC,https://www.linkedin.com/in/alec-grieser-8a998b2b
Alex Chui,United Kingdom,,2024,IMO,
Alex Darby,United Kingdom,,2019,IMO,https://www.linkedin.com/in/alex-darby-26b71842
Alex Meed,United States,The University of Texas at Austin,2017,ICPC,https://www.linkedin.com/in/meedalexa
Alex Qiu,Australia,,2024,IMO,https://www.linkedin.com/in/alexqiu34
Alex Tatomir,United Kingdom,University of Oxford,2019,ICPC,https://uk.linkedin.com/in/atatomir
Alex Zhao,United States,,2023,IMO,https://www.linkedin.com/in/alex-zhao-a28b12176
Alexander Coleman,United States,University of Central Florida,2018,ICPC,https://www.linkedin.com/in/alexander-coleman24
Alexander Dai,United States,University of California at Berkeley,2018,ICPC,https://www.linkedin.com/in/alex-dai-2626b361
Alexander Gunning,Australia,,2015,IMO,https://www.linkedin.com/in/alexander-gunning
Alexander Iverson,United States,South Dakota School of Mines and Technology,2019,ICPC,https://www.linkedin.com/in/alexander-iverson
Alexander Lind,United States,Virginia Tech,2020,ICPC,https://www.linkedin.com/in/alexander-c-lind
Alexander Song,United Kingdom,,2017,IMO,https://www.linkedin.com/in/alexjsong
Alexander Thatcher,Australia,The University of Western Australia,2019,ICPC,https://au.linkedin.com/in/adam-thatcher-29b26954
Alexander Wang,United States,,2024,IMO,
Alexander Whatley,Canada,,2015,IMO,https://www.linkedin.com/in/alexander-w-a33b7751
Ali Khosravi,Australia,UNSW Sydney,2022,ICPC,https://au.linkedin.com/in/ali-khosravi-b4432616a
Ali-Amir Aldan,United States,Massachusetts Institute of Technology,2015,ICPC,https://www.linkedin.com/in/ali-amir-aldan-a2b81b46
Allee Zarrini,United States,Colorado School of Mines,2018,ICPC,
Allen Li,United States,University of Michigan at Ann Arbor,2021,ICPC,https://www.linkedin.com/in/allen-li-976678167
Allen Liu,United States,Massachusetts Institute of Technology,2016,ICPC,https://www.linkedin.com/in/allen-liu-284b28127
Allen Pei,Canada,,2022,IOI,https://www.linkedin.com/in/allenpei
Aman Karunakaran,United States,University of Michigan at Ann Arbor,2018,ICPC,https://in.linkedin.com/in/yash-karunakaran-17b671b6
Amber Li,Australia,,2024,IMO,https://www.linkedin.com/in/amber-li-317610205
An Nguyen,United States,The University of Texas at Dallas,2020,ICPC,https://www.linkedin.com/in/an-nguyen-tran
Anango Prabhat,United Kingdom,,2024,IOI,
Anatol Coen,New Zealand,,2023,IOI,https://nz.linkedin.com/in/anatol-coen
Andrei Dumitru,United States,Illinois Institute of Technology,2016,ICPC,https://www.linkedin.com/in/agdumitru
Andrei-Costin Constantinescu,United Kingdom,University of Oxford,2018,ICPC,https://ch.linkedin.com/in/andrei-costin
Andres David Buritica Monroy,Australia,,2021,IMO,https://www.linkedin.com/in/andres-buritica-monroy-84330828a
