Name,Country,Source,Year,LinkedIn,LinkedInName,LevScore
Taehyoung Kim,Republic of Korea,IPhO,2015,https://www.linkedin.com/in/taehyoung-kim-39a35a302,Taehyoung Kim,4
Jingyu Zhao,People's Republic of China,IPhO,2015,https://www.linkedin.com/in/jingyuzhao,Jingyu Zhao,4
Deng Pan,People's Republic of China,IPhO,2015,https://kr.linkedin.com/in/zhimin-pan-87b819106,Zhimin Pan님,7
Sol Kim,Republic of Korea,IPhO,2015,https://www.linkedin.com/in/solkim0,Sol Kim,4
Chua Yee Shuen Darren,Singapore,IPhO,2015,,,
Chenxing Zhang,People's Republic of China,IPhO,2015,https://www.linkedin.com/in/chenxing-zhang-92100811b,Chenxing Zhang,0
Chung-Yao Cheng,Taiwan,IPhO,2015,https://www.linkedin.com/in/ching-chang-64892897,Ching Chang,6
Aleksei Krasnikov,Russia,IPhO,2015,https://www.linkedin.com/in/aleksei-krasnikov-38a2a0193,Aleksei Krasnikov,4
Hyunsoo Ha,Republic of Korea,IPhO,2015,https://www.linkedin.com/in/hyunsoo-ha-53007246,Hyunsoo Ha,4
Joonhwi Kim,Republic of Korea,IPhO,2015,https://www.linkedin.com/in/joonhwi-kim-60ab6b330,Joonhwi Kim,4
Adam Robert Busis,United States of America,IPhO,2015,https://www.linkedin.com/in/adam-busis-094582278,Adam Busis,11
Xinyu Wang,People's Republic of China,IPhO,2015,https://www.linkedin.com/in/xinyuwang1126,Xinyu Wang,4
Akihiro Watanabe,Japan,IPhO,2015,https://jp.linkedin.com/in/akihiro-watanabe-11391ab,Akihiro Watanabe,4
Vu Thanh Trung Nam,Vietnam,IPhO,2015,https://vn.linkedin.com/in/thuan-nguyen-797a4a201,Thuan Nguyen,12
Zachary Bogorad,United States of America,IPhO,2015,https://www.linkedin.com/in/zachary-bogorad-854a0b170,Zachary Bogorad,4
Yu-Chia Lin,Taiwan,IPhO,2015,https://www.linkedin.com/in/chi-kang-pai-5231151a3,Chi Kang Pai,10
Mohammadhossein Darestanifarahani,Islamic Republic of Iran,IPhO,2015,https://ir.linkedin.com/in/mohammadhosseinyazdi,Mohammad Hossein Yazdi,20
Dan Ștefan Eniceicu,Romania,IPhO,2015,,,
